0.61825828 -0.50000000
0.87399734 -0.61825828
0.61825828 0.12092214
-0.15550441 0.61825828
-0.61825828 -0.02877996
-0.18682463 -0.61825828
0.61825828 0.00254026
0.99491948 0.61825828
0.61825828 0.00508052
-0.24184428 -0.61825828
-0.61825828 -0.05247939
0.05755991 0.61825828
0.61825828 0.18428437
-0.00508052 -0.61825828
-0.61825828 -0.75815572
-0.00508052 -0.61825828
0.61825828 -0.75815572
0.05755991 -0.61825828
-0.61825828 0.18428437
-0.24184428 0.61825828
0.61825828 -0.04739887
1.00000000 -0.61825828
0.61825828 -0.04739887
-0.24184428 0.61825828
-0.61825828 0.18428437
0.05501965 -0.61825828
0.61825828 -0.76069598
0.02369944 -0.61825828
-0.61825828 -0.72937576
-0.12092214 -0.61825828
0.61825828 0.06336223
0.50000000 0.61825828
